cEXT,cNEU,cAGR,cCON,cOPN,Article,Funct,Affect,CogMech,Inhib,Negemo,Sad,Bio,Body,Achiev,Health,Sexual,Adverbs,Prep,Relativ,Space,Time,Work,Certain,Assent,Anger,Insight,Posemo,Past,Verbs,Money,Percept,Friends,Social,Motion,Cause,Leisure,Incl,Home,Present,Humans,Anx,Relig,AuxVb,Negate,Ingest,Death,Quant,Tentat,Conj,Ipron,Pronoun,Swear,Hear,Family,See,Discrep,Numbers,Filler,Feel,Excl,Future,Nonflu,SheHe,Ppron,I,We,You,They
n,y,n,n,n,25,0,122,7,45,4,1,126,2,70,37,182,52,0,8,113,129,39,33,18,22,37,584,1,61,11,11,11,3,17,4,7,50,4,2,176,4,115,48,5,8,1,27,37,3,36,9,0,1,19,1,32,118,21,163,2,25,1,0,6,0,6,2,8
y,y,n,y,n,19,0,63,6,23,0,0,46,2,42,23,75,37,1,3,43,69,13,13,9,5,13,292,2,39,3,4,5,1,11,9,3,29,0,1,75,0,44,20,2,8,2,15,17,0,24,11,0,0,17,0,14,59,9,93,4,4,1,0,7,0,0,1,1
y,n,n,n,y,19,0,65,1,22,0,2,64,1,23,17,84,29,4,13,51,44,21,23,5,6,38,319,1,29,3,1,8,1,15,0,5,29,0,2,93,0,59,17,2,8,0,14,14,4,30,0,0,1,23,2,11,55,6,101,0,12,0,0,6,0,4,0,0
n,y,y,n,n,44,0,165,19,66,0,6,185,1,57,40,217,89,9,39,113,138,38,43,23,13,150,846,15,81,24,5,30,1,6,16,4,92,0,1,277,21,143,52,0,4,8,34,26,11,59,26,2,17,83,1,31,147,18,276,2,41,6,0,6,5,1,1,3
n,n,y,y,n,14,0,109,8,47,0,0,60,0,36,11,73,37,5,20,38,91,10,14,6,5,51,374,3,27,4,5,10,1,12,6,9,34,0,1,94,2,52,17,4,1,3,10,12,5,40,9,1,1,29,1,5,56,9,83,5,7,0,1,4,0,3,0,0
n,y,n,y,n,12,0,75,7,29,1,1,53,2,43,19,115,40,5,4,39,85,27,20,10,8,30,353,4,47,6,9,5,0,15,3,3,39,1,1,92,5,64,31,9,3,0,14,25,1,36,4,0,3,16,0,16,81,15,94,2,14,0,1,6,0,8,0,1
y,n,y,n,y,25,1,66,5,24,0,5,64,0,29,20,123,31,4,17,37,57,25,11,6,11,70,389,1,37,9,6,13,0,7,2,8,68,4,0,132,14,77,29,2,3,3,18,19,9,37,10,2,3,20,0,14,63,7,112,2,41,1,3,9,0,1,0,0
y,y,n,n,y,90,0,222,6,108,0,12,318,0,156,96,450,144,42,6,252,252,96,48,42,18,120,1392,0,126,30,12,24,24,36,12,18,264,18,12,582,0,258,120,6,42,18,96,90,12,66,48,0,0,96,6,30,306,30,438,6,90,18,12,12,0,30,0,12
y,n,y,y,n,28,0,120,18,58,6,1,129,1,63,26,182,72,8,18,107,137,41,38,12,17,45,613,3,41,6,10,23,4,27,7,7,73,3,2,202,4,115,48,0,3,5,25,42,2,40,15,3,0,32,1,25,135,18,172,6,19,0,1,3,0,12,0,2
n,y,n,n,y,19,1,91,4,46,1,1,85,1,28,21,125,35,15,11,48,91,14,16,10,4,72,408,3,38,3,10,8,6,12,5,9,41,3,4,126,3,67,31,0,4,6,22,28,11,34,14,0,7,44,0,9,71,19,129,0,45,8,0,5,1,5,0,0
n,n,y,y,n,27,0,111,7,48,1,2,79,2,35,54,144,45,6,0,59,97,22,29,9,8,49,518,3,69,9,4,10,0,13,3,10,63,6,1,142,11,80,32,1,0,0,13,23,9,35,9,2,0,34,0,25,94,14,167,1,28,3,0,6,2,6,0,0
y,n,y,y,y,12,0,67,12,32,3,0,48,1,29,25,74,41,0,15,31,74,25,28,4,2,56,352,2,51,0,2,13,0,8,5,1,46,4,5,94,9,41,13,1,4,24,8,13,12,48,34,1,0,21,0,4,59,16,96,6,11,1,0,1,0,5,0,0
y,n,y,y,n,9,0,51,4,29,1,0,44,0,23,7,62,32,3,0,39,56,13,14,6,4,17,241,3,20,4,4,7,0,6,5,5,27,2,1,71,0,39,23,0,4,0,3,19,5,20,7,0,3,27,0,3,39,6,68,0,13,2,0,9,1,4,0,1
y,n,y,y,y,6,0,72,6,64,3,2,10,0,14,0,47,10,1,4,7,86,4,6,1,5,9,156,0,15,4,9,3,3,4,2,2,15,2,1,25,0,23,15,1,0,3,3,11,2,12,8,1,0,28,0,11,33,8,51,2,8,0,2,2,1,1,0,1
y,y,y,y,y,19,2,66,6,35,3,1,61,1,25,20,111,36,3,0,55,64,16,23,13,9,48,366,2,39,4,2,6,0,14,3,1,48,5,1,109,1,66,23,0,1,1,12,19,17,34,9,0,0,24,0,13,82,6,103,1,12,2,0,5,0,3,1,2
n,y,n,n,y,19,1,37,13,10,2,5,60,0,26,29,94,42,0,22,46,34,22,9,7,8,38,260,3,35,15,5,11,3,3,5,0,24,5,2,84,0,49,39,1,7,2,12,24,8,15,12,0,0,25,1,14,67,5,114,8,9,1,2,1,0,5,1,0
y,y,y,n,n,28,1,67,14,21,7,4,111,2,32,20,144,34,0,11,91,58,42,8,9,13,61,422,5,40,13,3,6,1,5,5,1,48,1,4,159,13,84,42,5,5,4,11,29,4,35,10,2,1,15,1,20,100,10,118,1,22,3,0,4,0,2,1,3
n,y,n,y,y,13,0,47,11,13,0,0,54,0,28,14,75,16,2,3,45,44,12,9,5,5,18,216,4,20,2,5,3,0,6,2,1,26,6,1,80,2,35,11,3,3,6,8,9,1,17,16,1,1,6,0,16,55,5,65,6,12,2,0,5,0,2,0,1
y,n,n,y,n,11,1,86,7,36,0,2,73,0,52,38,129,73,4,1,51,102,21,23,10,11,41,460,3,55,7,7,10,1,26,3,3,49,3,2,122,13,81,31,0,5,3,22,24,1,31,9,2,5,34,1,22,71,19,135,2,32,5,1,7,1,3,1,1
n,y,y,y,y,19,0,74,5,38,0,1,83,3,38,17,93,28,0,1,81,89,16,7,9,6,12,346,1,42,10,1,10,2,8,11,5,40,4,1,123,0,54,26,0,2,0,11,16,3,25,15,0,1,23,0,4,66,14,90,5,17,1,0,1,5,1,0,2
y,n,y,y,n,11,0,42,5,15,0,0,42,0,21,8,63,19,0,2,40,36,10,13,9,4,11,196,4,18,1,1,8,0,6,2,4,16,1,0,58,0,41,14,1,2,0,5,13,3,8,3,1,3,9,0,9,30,4,55,0,18,0,0,4,0,1,0,0
n,n,y,y,y,31,1,91,7,38,3,1,66,10,44,24,124,50,1,0,60,105,21,16,14,8,11,401,2,57,14,6,4,5,5,5,3,48,3,1,114,5,69,38,1,4,1,17,24,0,18,9,0,0,38,0,19,91,27,138,2,12,0,0,2,0,7,0,2
y,y,n,y,y,23,0,42,13,14,0,1,53,0,19,25,90,25,1,4,35,31,26,14,9,8,36,259,2,32,5,1,6,0,0,1,3,40,3,0,93,12,46,29,4,4,2,9,24,5,16,7,9,0,8,2,4,67,1,92,2,7,1,0,5,0,1,1,1
n,n,y,y,y,6,0,58,0,35,0,1,74,0,25,14,115,20,1,43,25,81,10,11,12,13,84,332,0,31,10,0,2,4,2,1,6,25,4,4,99,1,93,22,1,0,1,17,12,0,13,6,0,5,16,2,21,60,21,78,0,22,4,0,2,0,1,0,7
n,y,n,y,n,18,0,123,32,56,25,1,107,4,52,41,167,79,4,0,88,130,29,42,9,11,42,610,4,80,3,6,15,4,16,10,15,57,7,0,164,9,101,26,0,1,6,26,23,5,44,24,0,1,45,1,14,98,19,163,3,48,6,0,12,0,12,0,0
n,n,n,y,n,22,0,113,14,49,2,0,108,0,54,39,156,76,1,7,85,120,27,27,18,9,53,553,7,80,10,2,16,1,20,8,13,45,5,8,153,12,86,28,1,6,1,22,18,8,43,14,5,2,45,4,18,106,21,178,0,29,3,0,5,4,7,1,3
n,y,y,y,n,9,0,22,8,6,0,1,23,0,6,7,35,15,0,0,22,12,4,3,5,2,2,106,5,16,3,0,7,0,0,2,1,10,0,0,33,1,19,5,0,1,0,4,2,0,4,2,0,0,8,0,6,26,1,42,3,2,0,0,1,2,0,0,0
y,y,y,y,y,14,0,58,3,24,0,0,58,4,16,11,70,31,25,1,22,46,17,22,12,3,52,294,1,28,7,4,12,1,6,6,0,33,6,0,91,11,42,23,3,3,0,10,16,4,29,12,0,2,32,0,6,46,9,95,2,10,0,0,7,2,0,0,2
n,y,n,n,n,25,0,73,11,41,1,4,70,2,41,35,130,39,3,8,37,86,23,20,6,14,67,406,5,44,8,8,10,3,2,5,6,48,7,2,118,11,76,40,3,15,3,32,32,10,37,17,1,0,18,0,20,93,18,128,5,17,15,4,3,1,1,1,1
y,n,n,y,n,6,0,51,1,16,0,7,58,3,32,19,76,39,0,24,49,58,14,14,9,6,38,261,1,38,15,3,11,9,7,4,5,24,2,0,82,1,41,45,3,2,2,7,30,0,11,11,0,1,21,0,8,38,13,80,0,27,0,1,3,0,2,0,5
y,n,y,y,y,15,1,127,6,51,0,1,118,6,58,41,142,87,13,32,73,128,19,28,12,2,90,587,2,91,10,10,23,4,15,7,3,68,11,1,186,1,82,40,2,3,2,11,30,2,29,21,1,2,60,1,19,100,21,190,3,31,7,1,9,0,2,0,6
y,y,y,y,y,76,3,248,42,77,1,23,215,7,102,75,332,120,1,5,191,215,48,80,38,19,101,1174,18,130,34,14,34,6,25,9,11,184,7,4,399,16,162,79,17,5,12,54,45,24,77,29,11,3,69,0,52,259,34,383,13,37,3,14,14,2,5,2,3
y,y,y,y,n,21,0,76,7,29,0,0,72,0,21,32,116,36,0,1,71,58,17,25,11,7,20,372,7,48,4,8,9,0,14,6,4,28,2,2,100,1,63,26,2,1,0,14,21,2,23,8,0,5,25,0,22,90,9,125,0,7,0,0,3,0,7,0,1
n,y,n,n,y,34,3,110,42,39,1,6,207,0,54,57,279,84,0,47,165,108,50,26,23,21,110,800,7,72,37,4,31,0,0,7,10,97,12,2,304,4,163,104,1,4,9,57,65,5,30,28,25,1,40,0,38,179,16,242,9,47,14,1,7,5,4,3,16
n,y,n,n,n,15,0,75,5,27,0,0,88,5,41,23,104,30,1,3,72,69,21,20,11,14,41,393,1,48,5,6,14,0,5,0,7,37,2,1,125,9,68,33,5,10,4,16,28,5,31,6,0,1,15,3,14,69,12,105,4,14,4,0,4,1,2,0,0
n,n,y,y,n,19,0,93,14,49,0,0,87,1,46,28,143,64,1,9,76,106,29,26,13,3,37,456,2,60,10,9,9,1,8,11,3,37,0,3,124,1,70,33,3,8,4,23,23,6,40,17,0,1,41,2,18,121,21,141,12,11,4,0,8,3,15,0,5
n,y,y,y,n,16,1,131,10,77,0,1,81,2,49,20,107,65,9,4,61,153,10,31,28,5,62,515,2,53,9,13,16,1,15,5,3,57,6,1,138,6,60,27,0,1,2,16,18,8,48,13,1,5,53,0,10,39,28,153,7,56,3,0,12,1,4,0,0
y,y,n,n,n,26,1,116,17,56,2,6,170,5,75,42,198,90,16,50,104,144,24,28,22,9,121,678,5,95,19,6,21,4,6,9,10,64,4,0,234,6,120,60,3,8,2,30,41,7,36,15,2,9,67,3,20,145,15,216,11,34,3,5,7,2,13,0,4
n,n,y,n,n,9,2,55,11,41,0,2,56,2,25,12,64,18,0,12,42,74,9,7,8,0,43,263,4,24,12,5,4,2,9,1,8,29,2,3,85,2,32,29,2,0,3,7,17,7,35,7,0,2,12,2,8,53,8,63,7,11,2,2,3,2,3,0,6
n,n,n,y,n,11,0,51,4,17,0,0,67,2,28,14,70,18,1,16,52,57,10,12,5,6,37,267,2,31,3,2,5,0,8,4,3,24,0,1,91,0,49,13,0,2,1,14,10,1,18,5,2,3,13,0,8,47,14,69,0,12,0,0,3,1,4,0,0
n,y,n,y,n,9,0,95,5,40,0,3,118,2,48,15,115,50,10,35,67,107,15,11,4,11,93,456,0,38,10,0,6,0,5,3,6,43,5,0,161,2,86,20,2,1,0,9,10,4,27,8,2,6,57,9,5,64,17,114,3,32,4,0,8,3,11,0,2
y,n,y,y,y,17,1,51,5,17,0,3,65,0,25,25,109,44,0,0,59,43,18,31,12,11,21,346,1,47,8,4,13,1,9,7,3,47,3,2,112,5,60,37,3,7,0,9,29,5,16,10,1,0,16,0,20,67,8,109,3,18,1,2,6,0,0,0,2
y,n,y,y,y,17,0,92,12,34,0,1,70,1,41,29,90,37,0,0,67,93,19,13,14,4,25,405,7,51,6,13,13,0,8,4,8,47,3,1,117,1,57,31,2,1,5,19,24,4,45,12,2,0,22,0,4,59,17,122,3,22,2,0,9,0,7,0,4
n,n,y,y,y,21,0,68,9,38,0,0,77,1,40,8,106,30,5,2,57,82,21,19,6,3,38,360,6,33,3,4,6,1,18,8,11,33,3,2,110,7,65,24,4,7,1,6,21,2,35,12,2,4,20,1,7,70,11,88,1,25,7,0,6,1,8,1,2
y,n,y,y,y,21,11,145,12,82,5,3,184,1,101,29,185,103,36,52,100,185,24,35,27,17,169,764,3,77,16,12,17,1,8,5,12,72,5,0,256,9,118,63,2,18,7,17,47,6,60,17,2,32,91,3,19,84,17,221,2,68,2,0,15,0,16,3,10
n,n,n,y,y,5,0,48,1,10,0,2,52,4,37,22,79,27,3,3,44,56,8,8,0,8,11,237,1,26,5,7,6,2,11,1,2,15,2,3,67,1,51,17,12,3,1,17,12,0,12,4,0,0,8,0,12,60,12,61,0,5,1,1,4,0,1,0,0
y,n,y,n,y,10,1,76,4,34,1,1,79,4,59,23,122,49,4,8,61,112,20,28,11,8,40,405,1,51,5,6,11,0,11,5,4,41,6,4,120,4,68,25,0,4,1,19,20,9,26,13,0,2,23,1,14,76,21,117,2,29,3,6,6,0,5,0,1
y,y,n,n,y,13,4,73,5,30,0,2,86,0,31,22,81,42,4,12,69,62,13,23,12,1,38,333,2,32,13,7,6,0,6,5,1,27,2,0,113,1,54,33,1,8,0,6,20,6,26,7,2,7,25,1,2,56,8,88,2,19,0,2,3,3,8,2,6
n,y,n,n,n,7,0,41,15,24,2,9,65,2,31,24,94,34,1,7,47,64,21,6,4,5,39,269,2,37,10,4,3,0,7,5,3,23,6,2,88,8,48,20,2,1,2,11,10,6,21,14,4,1,6,1,21,69,10,76,8,15,3,9,2,0,4,0,1
y,n,y,y,y,11,0,134,13,59,2,1,107,1,69,17,123,58,11,1,78,142,16,21,4,6,56,526,6,63,11,7,17,1,4,2,8,46,1,0,153,16,75,25,4,3,1,14,15,4,46,4,0,14,43,1,9,59,17,114,5,54,1,1,3,0,10,0,5
n,y,n,n,y,15,0,49,3,17,2,1,89,5,26,28,109,38,1,16,65,48,32,23,9,18,48,351,0,49,5,8,6,1,7,4,1,31,1,4,120,7,66,25,1,4,3,15,20,0,18,8,0,7,22,1,18,59,9,125,1,17,2,0,3,1,2,0,2
n,n,y,n,y,12,0,72,6,34,0,0,64,2,21,28,111,32,8,19,43,58,36,18,12,19,53,367,4,38,9,3,9,1,3,3,3,47,5,4,111,2,78,28,1,5,2,12,18,7,26,10,0,3,20,0,12,65,8,119,2,11,2,0,7,0,4,1,0
y,n,y,y,n,5,0,65,9,34,0,1,71,1,36,10,94,39,0,1,62,78,15,15,9,2,33,332,4,35,3,13,6,4,4,3,8,28,5,2,99,8,56,30,0,2,5,7,27,7,25,13,3,5,21,0,11,62,10,72,3,25,0,2,7,0,2,0,1
n,y,n,n,y,10,0,67,5,22,1,2,45,0,15,15,70,23,8,2,27,49,14,18,3,9,42,292,1,22,5,4,8,0,4,3,1,37,2,2,82,8,45,23,4,1,3,8,18,14,36,8,2,2,21,0,13,38,10,77,1,17,0,1,8,1,2,1,0
n,y,n,n,y,28,1,74,4,31,0,1,70,1,28,38,123,53,1,2,55,64,40,17,13,8,44,428,2,47,11,0,11,2,9,8,3,72,2,3,142,3,72,39,0,4,1,23,28,4,27,11,1,0,21,1,20,92,9,166,1,18,9,0,5,4,1,0,2
y,n,y,y,y,36,0,74,6,36,0,4,97,2,32,47,144,55,0,10,78,73,54,29,14,14,50,485,1,57,11,3,9,1,17,10,6,62,2,2,159,13,82,32,2,3,9,17,21,3,35,21,2,1,20,1,28,94,8,178,3,29,1,2,6,1,1,0,2
n,n,y,y,y,17,0,83,6,28,0,1,74,6,49,18,102,35,4,15,50,86,17,13,15,3,41,358,1,36,11,5,10,0,16,4,3,44,2,2,118,2,59,35,2,3,0,20,23,0,23,6,1,3,25,0,13,73,12,118,4,17,3,1,8,3,2,0,0
n,n,y,n,y,20,7,76,19,24,8,3,94,2,34,32,119,47,2,2,87,73,19,24,14,5,31,417,5,63,12,7,12,3,8,5,1,36,1,1,130,1,62,31,3,3,3,20,18,2,21,9,2,6,22,1,23,94,16,133,6,12,2,2,4,2,5,1,4
n,n,y,y,y,43,0,85,16,34,3,0,78,4,48,33,122,56,2,0,72,90,45,38,13,14,31,436,2,50,5,2,12,1,6,5,2,54,1,6,132,3,64,19,0,2,2,9,14,4,31,8,0,0,24,2,17,91,10,178,11,8,1,0,2,3,5,0,0
y,y,y,y,y,8,1,47,16,29,4,4,47,0,25,20,66,19,2,5,39,63,9,13,5,9,18,238,1,27,7,7,5,1,4,5,1,22,7,0,69,1,42,21,0,2,2,13,14,2,20,15,3,0,13,1,11,46,11,71,10,9,0,3,4,1,1,0,0
y,n,y,y,y,28,0,73,4,25,1,4,84,2,37,30,122,45,0,0,75,75,26,19,9,11,26,407,2,45,7,6,19,1,9,7,5,57,6,3,141,7,62,24,3,1,1,22,16,3,28,14,1,4,29,0,18,81,12,150,0,21,2,0,6,0,4,0,2
y,y,n,n,y,22,0,68,17,25,0,1,123,0,32,15,111,27,2,0,88,71,21,14,10,12,55,382,6,16,5,6,7,0,2,9,4,39,5,5,162,11,68,28,2,5,2,9,23,3,22,18,5,0,31,0,15,71,17,117,6,19,22,0,5,2,2,0,1
y,n,y,y,y,20,0,87,15,48,3,3,106,0,45,42,165,70,2,3,88,99,19,17,8,7,46,528,2,56,7,6,26,1,6,4,5,50,17,2,156,4,99,42,1,11,3,28,35,11,44,27,6,1,32,0,18,128,9,158,4,11,9,1,4,1,5,0,0
y,y,y,y,n,3,0,29,6,9,0,0,32,2,13,3,36,17,0,0,30,26,3,6,6,6,4,145,5,12,2,0,9,0,1,1,3,10,0,2,42,2,27,11,0,0,1,6,9,0,12,2,0,0,12,0,1,23,4,35,1,4,0,0,5,0,6,0,0
n,n,y,y,y,5,0,88,1,45,0,1,50,2,40,10,71,21,1,6,43,93,11,12,7,1,25,312,1,31,5,6,2,0,12,0,11,26,2,1,76,0,42,15,10,0,0,5,10,2,37,2,0,0,12,1,6,42,8,51,0,25,4,0,7,0,2,0,2
y,n,n,y,n,18,1,83,19,33,1,1,77,0,46,12,94,44,3,19,59,93,13,18,6,6,40,356,2,41,3,7,13,0,18,4,6,39,2,4,116,1,48,8,0,1,2,16,5,3,23,8,0,2,25,0,18,33,13,105,16,45,0,0,6,0,9,0,0
n,y,n,n,n,10,0,57,7,21,0,1,42,0,31,4,87,19,3,6,37,70,10,10,2,6,23,256,1,32,2,13,3,0,7,5,6,22,0,0,64,1,53,14,0,2,3,5,12,6,24,8,0,0,19,0,7,66,20,53,6,11,0,1,6,0,4,1,0
y,n,n,y,y,13,0,54,1,17,0,2,26,2,21,8,66,24,0,1,17,41,20,22,5,6,26,244,0,26,4,6,6,1,3,0,6,34,3,0,60,7,38,30,4,2,3,11,26,7,24,6,0,0,14,0,8,46,5,72,1,10,2,2,6,0,2,0,0
y,n,n,y,y,4,0,58,8,23,1,1,33,0,32,7,53,21,0,0,33,56,12,9,3,4,2,205,4,15,4,6,2,0,14,4,2,11,1,1,44,0,37,13,1,2,0,2,9,0,25,6,0,1,17,0,8,37,5,44,3,8,0,0,6,3,4,0,0
n,y,n,n,y,9,0,55,27,43,2,3,33,1,36,11,75,15,3,2,28,81,23,10,3,8,11,251,5,30,10,1,4,1,5,6,3,38,1,2,71,0,48,28,0,3,5,10,18,0,23,16,1,0,10,0,14,48,4,68,21,10,0,1,3,0,0,1,1
y,y,n,y,n,27,4,100,2,38,0,6,102,3,45,31,147,57,0,9,89,97,22,20,13,6,47,500,1,45,11,5,18,3,18,6,6,53,4,1,155,3,86,32,5,5,6,18,21,10,39,16,0,1,37,1,17,114,18,149,1,12,4,3,7,0,2,0,2
y,n,y,y,n,10,0,33,1,9,0,0,29,0,13,3,40,15,0,0,29,31,5,8,4,0,7,148,0,12,2,6,3,0,2,6,1,17,2,1,46,0,24,5,0,0,0,3,2,0,17,8,0,0,8,0,2,28,9,38,1,9,0,0,0,0,1,0,1
y,n,n,n,y,30,5,121,12,50,1,7,150,1,62,65,184,89,9,43,93,129,62,44,21,20,80,675,5,74,23,0,16,1,8,4,6,75,8,0,225,4,98,55,3,6,1,27,32,3,37,13,5,0,53,0,26,103,21,239,3,49,1,4,4,2,3,0,6
y,y,y,y,y,20,0,64,7,20,0,0,67,0,19,17,67,43,0,0,62,46,18,10,7,5,16,290,6,17,2,4,8,0,6,8,4,19,0,2,86,5,44,18,1,2,1,9,16,3,27,9,1,4,26,0,14,40,8,95,0,14,0,0,8,0,4,0,1
n,y,y,y,n,13,0,114,14,63,2,6,119,1,50,52,137,68,2,13,98,120,27,25,10,4,59,588,3,84,15,19,12,6,11,9,6,67,2,4,186,8,75,44,2,5,10,11,28,7,58,22,4,3,34,3,15,93,12,155,5,33,1,2,6,0,8,0,4
y,n,y,n,y,9,1,72,12,24,2,3,114,0,28,24,120,56,1,25,82,58,17,22,12,10,84,433,3,41,14,6,12,0,7,3,7,40,7,5,154,11,75,41,12,5,1,17,27,11,21,11,4,7,34,3,12,80,11,120,3,22,4,1,5,5,6,0,6
n,n,y,y,n,3,0,32,3,16,0,0,30,4,18,8,42,19,0,1,27,35,11,5,2,8,4,161,2,14,1,2,7,1,13,1,3,20,1,2,50,0,27,14,3,2,0,7,13,0,20,2,0,0,4,0,10,25,3,41,1,4,2,0,2,0,2,0,0
n,y,y,y,y,3,0,44,1,16,0,0,47,0,20,16,71,26,0,2,45,49,10,10,5,6,11,222,0,14,3,4,7,0,5,0,2,16,1,3,63,0,46,10,0,3,1,14,7,0,16,2,0,5,12,0,13,57,16,61,1,1,1,0,7,0,6,0,2
n,n,y,n,y,21,2,91,6,31,1,3,90,2,30,26,131,47,0,5,82,69,14,14,15,4,33,413,3,45,15,2,12,0,10,11,4,35,3,0,125,1,73,34,2,4,4,18,19,5,28,18,0,5,30,0,21,92,11,124,2,17,4,0,7,2,0,0,4
y,n,y,y,y,17,3,48,4,25,1,0,78,0,28,15,111,29,1,21,56,56,27,23,7,11,43,317,1,24,1,2,8,3,5,7,5,32,4,0,110,0,60,35,1,3,1,6,34,1,22,12,2,4,14,3,18,73,5,89,0,15,0,0,5,0,5,0,1
n,y,n,n,n,37,0,93,2,45,0,2,138,2,46,21,201,74,11,25,96,108,21,25,22,13,96,623,0,86,10,3,10,0,8,3,9,77,3,1,215,10,131,37,0,4,1,25,27,12,27,7,2,3,59,4,16,153,19,175,0,23,4,0,9,3,2,0,4
y,n,y,y,n,5,1,51,0,20,0,1,47,2,19,13,60,27,2,4,41,41,9,11,6,10,15,225,0,24,8,0,5,1,7,1,1,22,3,1,69,1,41,21,0,3,2,5,13,0,10,6,0,0,17,1,5,42,7,56,0,0,0,1,10,1,1,0,4
n,y,y,y,y,23,0,58,6,18,0,1,93,2,27,18,124,33,4,15,76,49,19,25,12,14,41,372,0,57,10,3,5,1,12,2,3,34,3,0,127,2,69,39,0,6,1,15,29,3,14,6,4,2,22,3,18,89,11,110,2,15,0,0,6,0,3,0,6
n,n,y,y,n,10,0,64,6,26,2,0,40,4,26,13,61,26,5,3,27,59,13,11,7,2,26,247,4,20,3,0,5,0,9,6,5,31,11,3,71,3,37,19,0,3,2,8,16,5,24,20,0,0,14,1,7,42,6,66,0,14,3,0,2,1,5,0,0
n,n,y,n,y,10,0,58,2,23,0,1,53,2,24,12,75,31,3,8,43,50,19,16,6,12,32,292,0,33,5,2,5,1,22,4,3,27,2,0,80,1,47,20,0,2,2,9,15,3,32,8,0,0,25,0,6,47,4,81,2,12,0,0,3,1,1,0,0
y,n,y,n,n,20,0,78,8,32,2,2,103,0,36,37,142,64,3,17,81,79,19,17,13,10,43,457,1,54,6,7,17,4,6,8,3,41,18,3,144,2,82,29,4,5,6,20,23,2,31,33,0,3,31,0,15,104,14,147,5,19,0,0,7,0,3,0,3
n,y,n,n,y,47,2,128,17,53,2,7,145,0,58,54,206,72,1,20,120,111,48,20,14,19,75,654,5,65,16,9,19,7,14,7,5,82,3,7,227,7,119,63,0,23,13,41,47,5,34,27,1,2,36,9,30,122,20,219,9,50,3,2,9,0,9,2,5
y,n,y,y,y,9,0,53,6,19,0,0,51,2,23,21,67,36,1,1,47,45,9,20,3,2,19,282,2,34,6,3,5,0,9,2,2,27,5,2,78,2,38,26,1,4,1,11,20,6,25,8,1,1,29,3,8,49,6,84,3,12,0,0,7,1,5,1,3
y,n,y,y,n,27,3,82,1,34,0,5,81,2,30,39,114,70,0,2,63,68,30,20,12,5,57,430,0,37,13,3,16,1,6,3,5,45,11,1,126,8,60,26,2,4,4,22,13,19,37,18,1,2,28,0,10,89,7,140,0,16,8,1,1,4,2,1,0
y,y,y,y,n,16,0,50,4,27,0,0,49,0,14,8,56,30,2,2,44,48,8,8,3,1,15,218,1,23,3,1,11,0,6,7,2,17,5,1,66,1,37,11,0,0,2,5,8,0,12,14,0,0,17,2,2,47,5,67,3,6,0,0,8,0,3,0,1
y,y,y,n,n,24,0,156,24,68,17,1,113,1,52,34,160,68,2,13,88,130,31,37,14,10,60,650,4,75,9,8,27,1,13,6,4,62,8,0,175,14,104,41,7,7,1,27,31,4,58,19,1,2,47,6,15,116,14,178,3,20,1,0,4,0,8,0,4
n,n,y,y,y,15,0,38,2,16,0,0,42,0,15,17,45,24,0,0,42,40,19,10,4,7,5,202,1,24,0,5,5,0,6,0,8,23,2,0,65,0,27,6,1,1,2,3,6,0,21,4,0,0,6,0,13,25,8,71,1,6,0,0,5,0,2,0,0
n,y,n,n,n,5,1,40,1,20,0,4,46,1,28,17,57,34,9,16,27,52,15,12,4,5,50,234,0,16,8,8,6,0,6,1,4,25,0,2,71,2,35,21,1,4,1,11,13,5,24,2,0,7,35,0,10,38,7,88,1,9,1,1,6,1,1,0,2
y,n,n,y,y,14,2,59,1,13,0,0,45,1,18,14,77,29,6,1,35,38,12,11,9,8,30,258,0,16,9,11,3,1,2,4,1,38,3,1,83,0,49,23,0,0,0,5,14,5,17,7,1,11,17,0,11,51,7,67,0,9,3,0,7,2,13,0,3
y,y,y,y,y,10,1,45,5,23,2,1,36,3,20,16,56,33,1,2,24,49,19,9,6,4,27,208,2,23,5,1,6,0,7,7,5,18,1,1,54,3,32,16,2,3,0,9,11,4,16,8,0,3,17,0,10,42,9,69,1,6,7,1,4,0,7,0,3
n,n,y,y,n,3,1,54,4,28,0,0,57,0,24,1,76,19,11,2,40,61,6,15,3,6,41,257,3,19,5,8,1,0,14,0,12,16,0,0,73,5,50,23,0,0,0,2,18,3,21,0,1,11,29,3,5,49,9,46,0,12,0,0,7,0,10,0,4
y,y,n,n,n,4,1,56,5,30,0,0,59,0,35,13,67,29,17,14,32,74,6,14,8,1,38,261,3,32,7,0,10,0,0,3,4,23,2,1,82,1,36,18,2,1,1,7,11,1,16,6,2,0,28,1,3,42,10,69,0,18,0,0,5,1,3,0,5
n,n,n,y,y,14,0,44,4,15,0,0,38,0,12,16,58,15,0,0,29,24,10,13,6,5,30,200,2,14,2,5,5,0,3,2,0,31,4,0,69,9,32,16,0,6,4,11,14,11,9,10,1,0,9,0,8,47,3,66,1,5,0,0,1,0,0,0,0
y,y,n,n,y,16,0,106,16,38,1,0,98,0,39,17,92,53,12,20,64,88,11,13,5,1,75,410,13,50,4,2,10,0,9,7,2,33,3,3,131,2,44,16,0,1,1,8,12,8,31,11,2,8,57,0,13,55,10,132,0,31,1,0,6,3,3,3,0
